number,latitude,longitude,time
1,50.982446577,3.777900737,Op een zeker tijdstip...
2,50.982448987,3.777898281,Op een zeker tijdstip...
3,50.982451454,3.777895824,Op een zeker tijdstip...
4,50.982453871,3.777893636,Op een zeker tijdstip...
5,50.982456114,3.777891195,Op een zeker tijdstip...
6,50.982458415,3.777888699,Op een zeker tijdstip...
7,50.982460660,3.777886113,Op een zeker tijdstip...
8,50.982462853,3.777883589,Op een zeker tijdstip...
9,50.982465055,3.777880681,Op een zeker tijdstip...
10,50.982467234,3.777877856,Op een zeker tijdstip...
11,50.982469052,3.777875313,Op een zeker tijdstip...
12,50.982470731,3.777873608,Op een zeker tijdstip...
13,50.982473201,3.777872225,Op een zeker tijdstip...
14,50.982475859,3.777870270,Op een zeker tijdstip...
15,50.982478499,3.777868445,Op een zeker tijdstip...
16,50.982481112,3.777866735,Op een zeker tijdstip...
17,50.982483542,3.777865099,Op een zeker tijdstip...
18,50.982485895,3.777863353,Op een zeker tijdstip...
19,50.982488402,3.777861163,Op een zeker tijdstip...
20,50.982490979,3.777858954,Op een zeker tijdstip...
21,50.982493532,3.777856805,Op een zeker tijdstip...
22,50.982496104,3.777854676,Op een zeker tijdstip...
23,50.982498206,3.777852686,Op een zeker tijdstip...
24,50.982500632,3.777850115,Op een zeker tijdstip...
25,50.982502998,3.777847560,Op een zeker tijdstip...
26,50.982505222,3.777845131,Op een zeker tijdstip...
27,50.982507082,3.777843022,Op een zeker tijdstip...
28,50.982508944,3.777841226,Op een zeker tijdstip...
29,50.982511837,3.777839878,Op een zeker tijdstip...
30,50.982514451,3.777838630,Op een zeker tijdstip...
31,50.982517395,3.777837202,Op een zeker tijdstip...
32,50.982519553,3.777835984,Op een zeker tijdstip...
33,50.982522121,3.777834197,Op een zeker tijdstip...
34,50.982524699,3.777832475,Op een zeker tijdstip...
35,50.982527326,3.777830568,Op een zeker tijdstip...
36,50.982529912,3.777828662,Op een zeker tijdstip...
37,50.982532403,3.777826858,Op een zeker tijdstip...
38,50.982534777,3.777825033,Op een zeker tijdstip...
39,50.982537268,3.777823026,Op een zeker tijdstip...
40,50.982539871,3.777820788,Op een zeker tijdstip...
41,50.982542350,3.777818571,Op een zeker tijdstip...
42,50.982544718,3.777816341,Op een zeker tijdstip...
43,50.982547003,3.777814134,Op een zeker tijdstip...
44,50.982548510,3.777812680,Op een zeker tijdstip...
45,50.982550967,3.777811478,Op een zeker tijdstip...
46,50.982553822,3.777810038,Op een zeker tijdstip...
47,50.982556429,3.777808689,Op een zeker tijdstip...
48,50.982559425,3.777807052,Op een zeker tijdstip...
49,50.982562042,3.777805614,Op een zeker tijdstip...
50,50.982564546,3.777804239,Op een zeker tijdstip...
51,50.982567220,3.777802528,Op een zeker tijdstip...
52,50.982569862,3.777800991,Op een zeker tijdstip...
53,50.982572532,3.777799389,Op een zeker tijdstip...
54,50.982575052,3.777797933,Op een zeker tijdstip...
55,50.982577637,3.777796324,Op een zeker tijdstip...
56,50.982580165,3.777794586,Op een zeker tijdstip...
57,50.982582914,3.777792498,Op een zeker tijdstip...
58,50.982585517,3.777790432,Op een zeker tijdstip...
59,50.982588173,3.777788122,Op een zeker tijdstip...
60,50.982590991,3.777785703,Op een zeker tijdstip...
61,50.982593453,3.777783521,Op een zeker tijdstip...
62,50.982595860,3.777781493,Op een zeker tijdstip...
63,50.982598203,3.777779519,Op een zeker tijdstip...
64,50.982600585,3.777777232,Op een zeker tijdstip...
65,50.982602919,3.777774709,Op een zeker tijdstip...
66,50.982605293,3.777772065,Op een zeker tijdstip...
67,50.982607526,3.777769185,Op een zeker tijdstip...
68,50.982609603,3.777766785,Op een zeker tijdstip...
69,50.982611228,3.777764983,Op een zeker tijdstip...
70,50.982613729,3.777763527,Op een zeker tijdstip...
71,50.982616318,3.777761970,Op een zeker tijdstip...
72,50.982619067,3.777760318,Op een zeker tijdstip...
73,50.982621727,3.777758728,Op een zeker tijdstip...
74,50.982624512,3.777757088,Op een zeker tijdstip...
75,50.982627091,3.777755279,Op een zeker tijdstip...
76,50.982629678,3.777753438,Op een zeker tijdstip...
77,50.982632119,3.777751746,Op een zeker tijdstip...
78,50.982634748,3.777749848,Op een zeker tijdstip...
79,50.982637369,3.777747706,Op een zeker tijdstip...
80,50.982639831,3.777745483,Op een zeker tijdstip...
81,50.982642420,3.777743447,Op een zeker tijdstip...
82,50.982644907,3.777741393,Op een zeker tijdstip...
83,50.982647577,3.777738999,Op een zeker tijdstip...
84,50.982649926,3.777736776,Op een zeker tijdstip...
85,50.982652143,3.777734763,Op een zeker tijdstip...
