number,latitude,longitude,time
1,50.98266003759878,3.7773239245730346,-
2,50.982659723753244,3.7773285293160446,-
3,50.98265941585088,3.77733304686108,-
4,50.982659110822844,3.777337522233773,-
5,50.982658808053465,3.7773419644673747,-
6,50.98265850072753,3.7773464735548807,-
7,50.98265818909509,3.7773510458271957,-
8,50.982657884667724,3.777355512386837,-
9,50.98265757522726,3.7773600524986684,-
10,50.98265726699064,3.777364574947271,-
11,50.98265696057806,3.77736907063397,-
12,50.98265666159189,3.777373457360133,-
13,50.98265636744691,3.7773777730563958,-
14,50.98265606642063,3.777382189714972,-
15,50.98265575956034,3.7773866919703156,-
16,50.98265545247643,3.7773911975063905,-
17,50.982655146755306,3.777395683047586,-
18,50.98265484430725,3.777400120566471,-
19,50.98265454016183,3.7774045829890026,-
20,50.982654235190026,3.777409057536208,-
21,50.98265393132684,3.777413515817794,-
22,50.98265362646759,3.7774179887135717,-
23,50.982653325745474,3.7774224009091855,-
24,50.98265301530838,3.7774269556429942,-
25,50.98265271609271,3.777431345736223,-
26,50.98265242278508,3.7774356491463923,-
27,50.98265211295662,3.7774401949501346,-
28,50.98265180839771,3.777444663439117,-
29,50.98265150284501,3.7774491465090176,-
30,50.98265120359108,3.777453537163175,-
31,50.98265090271683,3.7774579515908346,-
32,50.982650595186165,3.777462463681215,-
33,50.98265029226564,3.777466908131777,-
34,50.98264999408403,3.777471283052799,-
35,50.982649686869735,3.7774757905015317,-
36,50.98264938957185,3.7774801524564543,-
37,50.982649080205256,3.7774846914833007,-
38,50.98264877345678,3.7774891920973825,-
39,50.98264846605634,3.777493702277074,-
40,50.98264815215606,3.7774983078222317,-
41,50.98264785297859,3.777502697354465,-
42,50.98264754383395,3.7775072331248074,-
43,50.98264724149933,3.7775116689784776,-
44,50.982646933169896,3.77751619278824,-
45,50.98264663349572,3.7775205896078683,-
46,50.982646328448844,3.77752506525569,-
47,50.98264602747951,3.7775294810778046,-
48,50.98264572211403,3.7775339614002172,-
49,50.982645409986326,3.7775385409380156,-
50,50.982645108219806,3.7775429684562187,-
51,50.98264480702249,3.777547387623232,-
52,50.98264449199443,3.7775520097149933,-
53,50.982644188847345,3.777556457488922,-
54,50.98264388447625,3.77756092322145,-
55,50.982643583811154,3.777565334579754,-
56,50.98264327507382,3.777569864373752,-
57,50.982642976700404,3.7775742421084098,-
