number,latitude,longitude,time
273,50.9824847826,3.7778917506,-
274,50.9824849099,3.7778915964,-
275,50.9824850372,3.7778914421,-
276,50.9824851646,3.7778912879,-
277,50.9824852919,3.7778911336,-
278,50.9824854192,3.7778909794,-
279,50.9824855465,3.7778908251,-
280,50.9824856738,3.7778906708,-
281,50.9824858011,3.7778905166,-
282,50.9824859284,3.7778903623,-
283,50.9824860557,3.7778902081,-
284,50.982486183,3.7778900538,-
285,50.9824863103,3.7778898996,-
286,50.9824864376,3.7778897453,-
287,50.9824865649,3.7778895911,-
288,50.9824866922,3.7778894368,-
289,50.9824868195,3.7778892826,-
290,50.9824869468,3.7778891283,-
291,50.9824870741,3.7778889741,-
292,50.9824872014,3.7778888198,-
293,50.9824873287,3.7778886656,-
294,50.982487456,3.7778885113,-
295,50.9824875833,3.7778883571,-
296,50.9824877106,3.7778882028,-
297,50.9824878379,3.7778880486,-
298,50.9824879652,3.7778878943,-
299,50.9824880926,3.7778877401,-
300,50.9824882199,3.7778875858,-
301,50.9824883472,3.7778874316,-
302,50.9824884745,3.7778872773,-
303,50.9824886018,3.7778871231,-
304,50.9824887291,3.7778869688,-
305,50.9824888564,3.7778868146,-
306,50.9824889837,3.7778866603,-
307,50.982489111,3.777886506,-
308,50.9824892383,3.7778863518,-
309,50.9824893656,3.7778861975,-
310,50.9824894929,3.7778860433,-
311,50.9824896202,3.777885889,-
312,50.9824897475,3.7778857348,-
313,50.9824898748,3.7778855805,-
314,50.9824900021,3.7778854263,-
315,50.9824901294,3.777885272,-
316,50.9824902567,3.7778851178,-
317,50.982490384,3.7778849635,-
318,50.9824905113,3.7778848093,-
319,50.9824906386,3.777884655,-
320,50.9824907659,3.7778845008,-
321,50.9824908932,3.7778843465,-
322,50.9824910206,3.7778841923,-
323,50.9824911479,3.777884038,-
324,50.9824912752,3.7778838838,-
325,50.9824914025,3.7778837295,-
326,50.9824915298,3.7778835753,-
327,50.9824916571,3.777883421,-
328,50.9824917844,3.7778832668,-
329,50.9824919117,3.7778831125,-
330,50.982492039,3.7778829583,-
331,50.9824921663,3.777882804,-
332,50.9824922936,3.7778826498,-
333,50.9824924209,3.7778824955,-
334,50.9824925482,3.7778823413,-
335,50.9824926755,3.777882187,-
336,50.9824928028,3.7778820327,-
337,50.9824929301,3.7778818785,-
338,50.9824930574,3.7778817242,-
339,50.9824931847,3.77788157,-
340,50.982493312,3.7778814157,-
341,50.9824934393,3.7778812615,-
342,50.9824935666,3.7778811072,-
343,50.9824936939,3.777880953,-
344,50.9824938212,3.7778807987,-
345,50.9824939486,3.7778806445,-
346,50.9824940759,3.7778804902,-
347,50.9824942032,3.777880336,-
348,50.9824943305,3.7778801817,-
349,50.9824944578,3.7778800275,-
350,50.9824945851,3.7778798732,-
351,50.9824947124,3.777879719,-
352,50.9824948397,3.7778795647,-
353,50.982494967,3.7778794105,-
354,50.9824950943,3.7778792562,-
355,50.9824952216,3.777879102,-
356,50.9824953489,3.7778789477,-
357,50.9824954762,3.7778787935,-
358,50.9824956035,3.7778786392,-
359,50.9824957308,3.777878485,-
360,50.9824958581,3.7778783307,-
361,50.9824959854,3.7778781765,-
362,50.9824961127,3.7778780222,-
363,50.98249624,3.777877868,-
364,50.9824963673,3.7778777137,-
365,50.9824964946,3.7778775594,-
366,50.9824966219,3.7778774052,-
367,50.9824967492,3.7778772509,-
368,50.9824968766,3.7778770967,-
369,50.9824970039,3.7778769424,-
370,50.9824971312,3.7778767882,-
371,50.9824972585,3.7778766339,-
372,50.9824973858,3.7778764797,-
373,50.9824975131,3.7778763254,-
374,50.9824976404,3.7778761712,-
375,50.9824977677,3.7778760169,-
376,50.982497895,3.7778758627,-
377,50.9824980223,3.7778757084,-
378,50.9824981496,3.7778755542,-
379,50.9824982769,3.7778753999,-
380,50.9824984042,3.7778752457,-
381,50.9824985315,3.7778750914,-
382,50.9824986588,3.7778749372,-
383,50.9824987861,3.7778747829,-
384,50.9824989134,3.7778746287,-
385,50.9824990407,3.7778744744,-
386,50.982499168,3.7778743202,-
387,50.9824992953,3.7778741659,-
388,50.9824994226,3.7778740117,-
389,50.9824995499,3.7778738574,-
390,50.9824996772,3.7778737032,-
391,50.9824998046,3.7778735489,-
392,50.9824999319,3.7778733947,-
393,50.9825000592,3.7778732404,-
394,50.9825001865,3.7778730861,-
395,50.9825003138,3.7778729319,-
396,50.9825004411,3.7778727776,-
397,50.9825005684,3.7778726234,-
398,50.9825006957,3.7778724691,-
399,50.982500823,3.7778723149,-
400,50.9825009503,3.7778721606,-
401,50.9825010776,3.7778720064,-
402,50.9825012049,3.7778718521,-
403,50.9825013322,3.7778716979,-
404,50.9825014595,3.7778715436,-
405,50.9825015868,3.7778713894,-
406,50.9825017141,3.7778712351,-
407,50.9825018414,3.7778710809,-
408,50.9825019687,3.7778709266,-
409,50.982502096,3.7778707724,-
410,50.9825022233,3.7778706181,-
411,50.9825023506,3.7778704639,-
412,50.9825024779,3.7778703096,-
413,50.9825026052,3.7778701554,-
414,50.9825027326,3.7778700011,-
415,50.9825028599,3.7778698469,-
416,50.9825029872,3.7778696926,-
417,50.9825031145,3.7778695384,-
418,50.9825032418,3.7778693841,-
419,50.9825033691,3.7778692299,-
420,50.9825034964,3.7778690756,-
421,50.9825036237,3.7778689213,-
422,50.982503751,3.7778687671,-
423,50.9825038783,3.7778686128,-
424,50.9825040056,3.7778684586,-
425,50.9825041329,3.7778683043,-
426,50.9825042602,3.7778681501,-
427,50.9825043875,3.7778679958,-
428,50.9825045148,3.7778678416,-
429,50.9825046421,3.7778676873,-
430,50.9825047694,3.7778675331,-
431,50.9825048967,3.7778673788,-
432,50.982505024,3.7778672246,-
433,50.9825051513,3.7778670703,-
434,50.9825052786,3.7778669161,-
435,50.9825054059,3.7778667618,-
436,50.9825055332,3.7778666076,-
437,50.9825056606,3.7778664533,-
438,50.9825057879,3.7778662991,-
439,50.9825059152,3.7778661448,-
440,50.9825060425,3.7778659906,-
441,50.9825061698,3.7778658363,-
442,50.9825062971,3.7778656821,-
443,50.9825064244,3.7778655278,-
444,50.9825065517,3.7778653736,-
445,50.982506679,3.7778652193,-
446,50.9825068063,3.7778650651,-
447,50.9825069336,3.7778649108,-
448,50.9825070609,3.7778647566,-
449,50.9825071882,3.7778646023,-
450,50.9825073155,3.777864448,-
451,50.9825074428,3.7778642938,-
452,50.9825075701,3.7778641395,-
453,50.9825076974,3.7778639853,-
454,50.9825078247,3.777863831,-
455,50.982507952,3.7778636768,-
456,50.9825080793,3.7778635225,-
457,50.9825082066,3.7778633683,-
458,50.9825083339,3.777863214,-
459,50.9825084612,3.7778630598,-
460,50.9825085886,3.7778629055,-
461,50.9825087159,3.7778627513,-
462,50.9825088432,3.777862597,-
463,50.9825089705,3.7778624428,-
464,50.9825090978,3.7778622885,-
465,50.9825092251,3.7778621343,-
466,50.9825093524,3.77786198,-
467,50.9825094797,3.7778618258,-
468,50.982509607,3.7778616715,-
469,50.9825097343,3.7778615173,-
470,50.9825098616,3.777861363,-
471,50.9825099889,3.7778612088,-
472,50.9825101162,3.7778610545,-
473,50.9825102435,3.7778609003,-
474,50.9825103708,3.777860746,-
475,50.9825104981,3.7778605918,-
476,50.9825106254,3.7778604375,-
477,50.9825107527,3.7778602833,-
478,50.98251088,3.777860129,-
479,50.9825110073,3.7778599747,-
480,50.9825111346,3.7778598205,-
481,50.9825112619,3.7778596662,-
482,50.9825113892,3.777859512,-
483,50.9825115166,3.7778593577,-
484,50.9825116439,3.7778592035,-
485,50.9825117712,3.7778590492,-
486,50.9825118985,3.777858895,-
487,50.9825120258,3.7778587407,-
488,50.9825121531,3.7778585865,-
489,50.9825122804,3.7778584322,-
490,50.9825124077,3.777858278,-
491,50.982512535,3.7778581237,-
492,50.9825126623,3.7778579695,-
493,50.9825127896,3.7778578152,-
494,50.9825129169,3.777857661,-
495,50.9825130442,3.7778575067,-
496,50.9825131715,3.7778573525,-
497,50.9825132988,3.7778571982,-
498,50.9825134261,3.777857044,-
499,50.9825135534,3.7778568897,-
500,50.9825136807,3.7778567355,-
501,50.982513808,3.7778565812,-
502,50.9825139353,3.777856427,-
503,50.9825140626,3.7778562727,-
504,50.9825141899,3.7778561185,-
505,50.9825143172,3.7778559642,-
506,50.9825144446,3.7778558099,-
507,50.9825145719,3.7778556557,-
508,50.9825146992,3.7778555014,-
509,50.9825148265,3.7778553472,-
510,50.9825149538,3.7778551929,-
511,50.9825150811,3.7778550387,-
512,50.9825152084,3.7778548844,-
513,50.9825153357,3.7778547302,-
514,50.982515463,3.7778545759,-
515,50.9825155903,3.7778544217,-
516,50.9825157176,3.7778542674,-
517,50.9825158449,3.7778541132,-
