number,latitude,longitude,time
123,50.982640697,3.777741880,op een zeker tijdstip...
124,50.982640367,3.777742135,op een zeker tijdstip...
125,50.982640099,3.777742416,op een zeker tijdstip...
126,50.982639766,3.777742681,op een zeker tijdstip...
127,50.982639447,3.777742949,op een zeker tijdstip...
128,50.982639132,3.777743240,op een zeker tijdstip...
129,50.982638776,3.777743538,op een zeker tijdstip...
130,50.982638488,3.777743791,op een zeker tijdstip...
131,50.982638177,3.777743948,op een zeker tijdstip...
132,50.982637857,3.777744207,op een zeker tijdstip...
133,50.982637569,3.777744545,op een zeker tijdstip...
134,50.982637210,3.777744817,op een zeker tijdstip...
135,50.982636860,3.777745079,op een zeker tijdstip...
136,50.982636624,3.777745307,op een zeker tijdstip...
137,50.982636378,3.777745609,op een zeker tijdstip...
138,50.982636074,3.777745873,op een zeker tijdstip...
139,50.982635720,3.777746066,op een zeker tijdstip...
140,50.982635369,3.777746312,op een zeker tijdstip...
141,50.982635047,3.777746576,op een zeker tijdstip...
142,50.982634733,3.777746832,op een zeker tijdstip...
143,50.982634397,3.777747102,op een zeker tijdstip...
144,50.982634017,3.777747369,op een zeker tijdstip...
145,50.982633619,3.777747631,op een zeker tijdstip...
146,50.982633342,3.777747935,op een zeker tijdstip...
147,50.982633005,3.777748237,op een zeker tijdstip...
148,50.982632710,3.777748461,op een zeker tijdstip...
149,50.982632441,3.777748677,op een zeker tijdstip...
150,50.982632129,3.777748993,op een zeker tijdstip...
151,50.982631754,3.777749328,op een zeker tijdstip...
152,50.982631341,3.777749487,op een zeker tijdstip...
153,50.982631055,3.777749695,op een zeker tijdstip...
154,50.982630810,3.777750041,op een zeker tijdstip...
155,50.982630523,3.777750273,op een zeker tijdstip...
156,50.982630213,3.777750517,op een zeker tijdstip...
157,50.982629868,3.777750786,op een zeker tijdstip...
158,50.982629536,3.777751046,op een zeker tijdstip...
159,50.982629219,3.777751298,op een zeker tijdstip...
160,50.982628867,3.777751565,op een zeker tijdstip...
161,50.982628496,3.777751779,op een zeker tijdstip...
162,50.982628199,3.777752063,op een zeker tijdstip...
163,50.982627900,3.777752295,op een zeker tijdstip...
164,50.982627583,3.777752594,op een zeker tijdstip...
165,50.982627260,3.777752869,op een zeker tijdstip...
166,50.982626921,3.777753141,op een zeker tijdstip...
167,50.982626569,3.777753387,op een zeker tijdstip...
168,50.982626216,3.777753590,op een zeker tijdstip...
169,50.982625912,3.777753903,op een zeker tijdstip...
170,50.982625601,3.777754159,op een zeker tijdstip...
171,50.982625272,3.777754378,op een zeker tijdstip...
172,50.982624894,3.777754656,op een zeker tijdstip...
173,50.982624599,3.777754901,op een zeker tijdstip...
174,50.982624300,3.777755080,op een zeker tijdstip...
175,50.982623925,3.777755369,op een zeker tijdstip...
176,50.982623588,3.777755638,op een zeker tijdstip...
177,50.982623306,3.777755845,op een zeker tijdstip...
178,50.982622976,3.777756116,op een zeker tijdstip...
179,50.982622692,3.777756359,op een zeker tijdstip...
180,50.982622384,3.777756597,op een zeker tijdstip...
181,50.982622036,3.777756878,op een zeker tijdstip...
182,50.982621697,3.777757059,op een zeker tijdstip...
183,50.982621357,3.777757296,op een zeker tijdstip...
184,50.982620998,3.777757573,op een zeker tijdstip...
185,50.982620671,3.777757794,op een zeker tijdstip...
186,50.982620302,3.777758079,op een zeker tijdstip...
187,50.982619961,3.777758413,op een zeker tijdstip...
188,50.982619687,3.777758580,op een zeker tijdstip...
189,50.982619358,3.777758813,op een zeker tijdstip...
190,50.982618976,3.777759145,op een zeker tijdstip...
191,50.982618519,3.777759441,op een zeker tijdstip...
192,50.982618267,3.777759644,op een zeker tijdstip...
193,50.982618047,3.777759861,op een zeker tijdstip...
194,50.982617639,3.777760143,op een zeker tijdstip...
195,50.982617251,3.777760351,op een zeker tijdstip...
196,50.982616960,3.777760613,op een zeker tijdstip...
197,50.982616686,3.777760845,op een zeker tijdstip...
198,50.982616323,3.777761064,op een zeker tijdstip...
199,50.982615974,3.777761224,op een zeker tijdstip...
200,50.982615637,3.777761381,op een zeker tijdstip...
201,50.982615360,3.777761659,op een zeker tijdstip...
202,50.982614998,3.777761874,op een zeker tijdstip...
203,50.982614659,3.777762076,op een zeker tijdstip...
204,50.982614316,3.777762276,op een zeker tijdstip...
205,50.982613894,3.777762451,op een zeker tijdstip...
206,50.982613581,3.777762677,op een zeker tijdstip...
207,50.982613261,3.777762900,op een zeker tijdstip...
208,50.982612927,3.777763163,op een zeker tijdstip...
209,50.982612583,3.777763354,op een zeker tijdstip...
210,50.982612185,3.777763540,op een zeker tijdstip...
211,50.982611886,3.777763769,op een zeker tijdstip...
212,50.982611597,3.777763933,op een zeker tijdstip...
213,50.982611219,3.777764117,op een zeker tijdstip...
214,50.982610944,3.777764369,op een zeker tijdstip...
215,50.982610636,3.777764613,op een zeker tijdstip...
216,50.982610256,3.777764794,op een zeker tijdstip...
217,50.982609932,3.777764899,op een zeker tijdstip...
218,50.982609656,3.777765042,op een zeker tijdstip...
219,50.982609327,3.777765235,op een zeker tijdstip...
220,50.982609024,3.777765394,op een zeker tijdstip...
221,50.982608718,3.777765545,op een zeker tijdstip...
222,50.982608345,3.777765729,op een zeker tijdstip...
223,50.982607987,3.777765904,op een zeker tijdstip...
224,50.982607698,3.777766077,op een zeker tijdstip...
225,50.982607352,3.777766304,op een zeker tijdstip...
226,50.982606993,3.777766514,op een zeker tijdstip...
227,50.982606622,3.777766740,op een zeker tijdstip...
228,50.982606310,3.777766915,op een zeker tijdstip...
229,50.982605953,3.777767059,op een zeker tijdstip...
230,50.982605602,3.777767150,op een zeker tijdstip...
231,50.982605302,3.777767356,op een zeker tijdstip...
232,50.982604919,3.777767680,op een zeker tijdstip...
233,50.982604569,3.777767914,op een zeker tijdstip...
234,50.982604206,3.777768130,op een zeker tijdstip...
235,50.982603806,3.777768311,op een zeker tijdstip...
236,50.982603466,3.777768497,op een zeker tijdstip...
237,50.982603181,3.777768717,op een zeker tijdstip...
238,50.982602867,3.777768873,op een zeker tijdstip...
239,50.982602518,3.777769023,op een zeker tijdstip...
240,50.982602066,3.777769207,op een zeker tijdstip...
241,50.982601689,3.777769387,op een zeker tijdstip...
242,50.982601391,3.777769535,op een zeker tijdstip...
243,50.982601145,3.777769698,op een zeker tijdstip...
244,50.982600795,3.777769868,op een zeker tijdstip...
245,50.982600314,3.777770039,op een zeker tijdstip...
246,50.982599978,3.777770192,op een zeker tijdstip...
247,50.982599726,3.777770312,op een zeker tijdstip...
248,50.982599332,3.777770563,op een zeker tijdstip...
249,50.982598961,3.777770774,op een zeker tijdstip...
250,50.982598634,3.777770894,op een zeker tijdstip...
251,50.982598301,3.777771107,op een zeker tijdstip...
252,50.982597910,3.777771303,op een zeker tijdstip...
253,50.982597540,3.777771461,op een zeker tijdstip...
254,50.982597168,3.777771603,op een zeker tijdstip...
255,50.982596852,3.777771763,op een zeker tijdstip...
256,50.982596506,3.777771918,op een zeker tijdstip...
257,50.982596187,3.777772046,op een zeker tijdstip...
258,50.982595862,3.777772163,op een zeker tijdstip...
259,50.982595495,3.777772295,op een zeker tijdstip...
260,50.982595113,3.777772535,op een zeker tijdstip...
261,50.982594789,3.777772716,op een zeker tijdstip...
262,50.982594397,3.777772769,op een zeker tijdstip...
263,50.982593926,3.777773009,op een zeker tijdstip...
264,50.982593593,3.777773177,op een zeker tijdstip...
265,50.982593288,3.777773204,op een zeker tijdstip...
266,50.982592938,3.777773256,op een zeker tijdstip...
267,50.982592604,3.777773405,op een zeker tijdstip...
268,50.982592290,3.777773574,op een zeker tijdstip...
269,50.982592060,3.777773647,op een zeker tijdstip...
270,50.982591825,3.777773764,op een zeker tijdstip...
271,50.982591524,3.777773820,op een zeker tijdstip...
272,50.982591170,3.777773900,op een zeker tijdstip...
273,50.982590914,3.777774050,op een zeker tijdstip...
274,50.982590606,3.777774169,op een zeker tijdstip...
275,50.982590124,3.777774166,op een zeker tijdstip...
276,50.982589687,3.777774188,op een zeker tijdstip...
277,50.982589326,3.777774264,op een zeker tijdstip...
278,50.982588956,3.777774277,op een zeker tijdstip...
279,50.982588675,3.777774354,op een zeker tijdstip...
280,50.982588362,3.777774476,op een zeker tijdstip...
281,50.982587918,3.777774584,op een zeker tijdstip...
282,50.982587532,3.777774678,op een zeker tijdstip...
283,50.982587259,3.777774757,op een zeker tijdstip...
284,50.982586976,3.777774815,op een zeker tijdstip...
285,50.982586670,3.777774832,op een zeker tijdstip...
286,50.982586405,3.777774819,op een zeker tijdstip...
287,50.982586149,3.777774844,op een zeker tijdstip...
288,50.982585828,3.777774968,op een zeker tijdstip...
289,50.982585473,3.777775112,op een zeker tijdstip...
290,50.982585014,3.777775407,op een zeker tijdstip...
291,50.982584488,3.777775709,op een zeker tijdstip...
292,50.982584188,3.777775841,op een zeker tijdstip...
293,50.982583913,3.777775887,op een zeker tijdstip...
294,50.982583551,3.777776030,op een zeker tijdstip...
295,50.982583156,3.777776118,op een zeker tijdstip...
296,50.982582818,3.777776150,op een zeker tijdstip...
297,50.982582450,3.777776331,op een zeker tijdstip...
298,50.982582142,3.777776437,op een zeker tijdstip...
299,50.982581866,3.777776470,op een zeker tijdstip...
300,50.982581543,3.777776554,op een zeker tijdstip...
301,50.982581165,3.777776642,op een zeker tijdstip...
302,50.982580794,3.777776749,op een zeker tijdstip...
303,50.982580379,3.777776858,op een zeker tijdstip...
304,50.982580043,3.777776966,op een zeker tijdstip...
305,50.982579713,3.777777064,op een zeker tijdstip...
306,50.982579382,3.777777104,op een zeker tijdstip...
307,50.982579032,3.777777149,op een zeker tijdstip...
308,50.982578588,3.777777389,op een zeker tijdstip...
309,50.982578156,3.777777538,op een zeker tijdstip...
310,50.982577768,3.777777581,op een zeker tijdstip...
311,50.982577455,3.777777714,op een zeker tijdstip...
312,50.982577102,3.777777844,op een zeker tijdstip...
313,50.982576713,3.777777915,op een zeker tijdstip...
314,50.982576308,3.777777975,op een zeker tijdstip...
315,50.982575935,3.777778117,op een zeker tijdstip...
316,50.982575624,3.777778224,op een zeker tijdstip...
317,50.982575246,3.777778269,op een zeker tijdstip...
318,50.982574842,3.777778308,op een zeker tijdstip...
319,50.982574472,3.777778459,op een zeker tijdstip...
320,50.982574113,3.777778596,op een zeker tijdstip...
321,50.982573765,3.777778682,op een zeker tijdstip...
322,50.982573443,3.777778789,op een zeker tijdstip...
323,50.982573077,3.777778881,op een zeker tijdstip...
324,50.982572708,3.777778967,op een zeker tijdstip...
325,50.982572346,3.777779071,op een zeker tijdstip...
326,50.982571962,3.777779145,op een zeker tijdstip...
327,50.982571585,3.777779265,op een zeker tijdstip...
328,50.982571161,3.777779447,op een zeker tijdstip...
329,50.982570780,3.777779477,op een zeker tijdstip...
330,50.982570494,3.777779556,op een zeker tijdstip...
331,50.982570168,3.777779629,op een zeker tijdstip...
332,50.982569790,3.777779729,op een zeker tijdstip...
333,50.982569403,3.777779790,op een zeker tijdstip...
334,50.982569025,3.777779864,op een zeker tijdstip...
335,50.982568725,3.777779868,op een zeker tijdstip...
336,50.982568386,3.777779913,op een zeker tijdstip...
337,50.982568035,3.777779965,op een zeker tijdstip...
338,50.982567702,3.777780043,op een zeker tijdstip...
